State,City,Date,Year,Month,Domestic_Tourists,International_Tourists,Tourism_Revenue_Cr,Popular_Attraction,Average_Spending_per_Tourist,Number_of_Hotels,Average_Hotel_Price,Events_or_Festivals,Weather_Condition,Mode_of_Transport,Average_Transport_Cost,Local_Transport_Used,Average_Stay_Days,Hotel_Occupancy_Rate(%),Tourist_Satisfaction_Score,Adventure_Activities,Medical_Facilities
Kerala,Thiruvananthapuram,01-03-2022,2022,March,30249,3678,50737.54,Wildlife Sanctuary,1.5,63,4430.55,Music Festival,Snowy,Bus,3386.42,Yes,10.4,64.45,3.8,No,Good
Kerala,Thiruvananthapuram,01-04-2022,2022,April,28710,3703,46471.55,Backwaters,1.43,428,4537.74,Festival,Sunny,Train,3162.97,No,3.8,90.58,3.4,No,Average
Kerala,Thiruvananthapuram,01-05-2022,2022,May,35015,1350,44479.02,Museum,1.22,224,2426.79,Religious Event,Cold,Boat,5378.93,Yes,7.2,72.22,4.4,No,Good
Kerala,Thiruvananthapuram,01-06-2022,2022,June,27863,3605,52578.83,River Rafting,1.67,317,1742.93,Art Fair,Humid,Bus,6882.23,Yes,2.8,86.13,3.8,Yes,Poor
Kerala,Thiruvananthapuram,01-07-2022,2022,July,42271,1223,61654.74,Beach,1.42,166,4841.04,Art Fair,Rainy,Bus,2280.56,Yes,5.9,67.22,4.8,Yes,Average
Kerala,Thiruvananthapuram,01-08-2022,2022,August,41887,4932,72608.96,Temple,1.55,274,4474.98,Dance Festival,Rainy,Flight,3468.97,Yes,9.3,57.85,3,No,Good
Kerala,Thiruvananthapuram,01-09-2022,2022,September,45886,2951,79759.37,Beach,1.63,466,7365.81,Crafts Mela,Sunny,Car,3226.56,No,11.3,78.12,4.5,Yes,Average
Kerala,Thiruvananthapuram,01-10-2022,2022,October,29376,1619,26374.93,Desert Safari,0.85,92,8747.89,Dance Festival,Sunny,Flight,2454.74,Yes,9.1,82.69,3.6,Yes,Average
Kerala,Thiruvananthapuram,01-11-2022,2022,November,5948,1960,14977.99,Hill Station,1.89,486,1735.92,Dance Festival,Cold,Bike,2101.44,Yes,4.5,54.64,4.3,Yes,Average
Kerala,Thiruvananthapuram,01-12-2022,2022,December,32042,1167,30313.8,Backwaters,0.91,327,8441.88,Crafts Mela,Cold,Car,3170.65,No,9.1,58.29,4.3,No,Average
Kerala,Thiruvananthapuram,01-01-2023,2023,January,34279,821,39080.86,Hill Station,1.11,92,2216.93,Dance Festival,Cloudy,Car,2337.21,No,8.5,93.05,3.8,Yes,Good
Kerala,Thiruvananthapuram,01-02-2023,2023,February,8872,1138,12219.82,Temple,1.22,329,8001.92,Festival,Sunny,Boat,1750.33,No,10.8,61.12,4.8,Yes,Poor
Kerala,Thiruvananthapuram,01-03-2023,2023,March,36791,4592,33208.26,Temple,0.8,353,8859.59,Music Festival,Cold,Train,7671.51,No,8.8,81.8,3.4,Yes,Average
Kerala,Thiruvananthapuram,01-04-2023,2023,April,35624,790,47521.85,Cultural Festival,1.31,384,4033.89,Dance Festival,Rainy,Train,3539.09,No,13.3,90.04,3.6,Yes,Good
Kerala,Thiruvananthapuram,01-05-2023,2023,May,49050,2482,59769.72,Museum,1.16,380,3560.17,Art Fair,Sunny,Boat,2505.68,Yes,14.3,68.89,3.4,No,Good
Kerala,Thiruvananthapuram,01-06-2023,2023,June,27206,2381,37483.61,Beach,1.27,95,8755.65,Food Festival,Sunny,Bus,2980.54,No,8.3,55.51,4.9,Yes,Average
Kerala,Thiruvananthapuram,01-07-2023,2023,July,12058,530,18692.06,Cultural Festival,1.48,469,5059.14,Dance Festival,Sunny,Flight,1410.17,No,2.8,86.4,4.9,No,Good
Kerala,Thiruvananthapuram,01-08-2023,2023,August,10387,3847,22766.19,Temple,1.6,339,5304.88,Sports Event,Sunny,Car,755.72,Yes,14.9,90.66,4.4,Yes,Good
Kerala,Thiruvananthapuram,01-09-2023,2023,September,19717,1339,21575.78,Cultural Festival,1.02,403,9705.73,Music Festival,Snowy,Train,2965.34,No,7,71.4,3.4,Yes,Poor
Kerala,Thiruvananthapuram,01-10-2023,2023,October,27295,2980,29824.77,River Rafting,0.99,320,4177.08,Dance Festival,Humid,Boat,7286.65,Yes,11.4,67.12,4.9,No,Good
Kerala,Thiruvananthapuram,01-11-2023,2023,November,45522,3624,55074.09,Beach,1.12,183,9075.43,Sports Event,Rainy,Bike,786.03,Yes,5.9,57.19,3.2,Yes,Poor
Kerala,Thiruvananthapuram,01-12-2023,2023,December,38081,711,31214.79,Wildlife Sanctuary,0.8,161,9756.64,Religious Event,Snowy,Car,3840.29,Yes,11.9,73.09,4.9,Yes,Average
Kerala,Munnar,01-01-2019,2019,January,48875,3191,81409.28,Desert Safari,1.56,270,4601.71,Dance Festival,Cold,Boat,3876.13,Yes,11.6,55.45,3,Yes,Average
Kerala,Munnar,01-02-2019,2019,February,15348,4683,34186.57,Temple,1.71,418,2392.91,Festival,Cloudy,Flight,3915.3,Yes,7.5,81.83,3.2,Yes,Good
Kerala,Munnar,01-03-2019,2019,March,32602,2453,30964.81,Wildlife Sanctuary,0.88,333,5720.04,Sports Event,Sunny,Flight,3733.79,Yes,8.8,61.77,3.9,Yes,Poor
Kerala,Munnar,01-04-2019,2019,April,21857,4058,45100.75,Backwaters,1.74,138,2905.65,Religious Event,Sunny,Flight,3319.69,Yes,10,62.62,4.5,No,Poor
Kerala,Munnar,01-05-2019,2019,May,39665,1659,53145.98,Cultural Festival,1.29,479,2017.44,Music Festival,Cold,Train,1665.96,Yes,2.9,74.7,4.8,No,Good
Kerala,Munnar,01-06-2019,2019,June,15457,4977,30786.25,Beach,1.51,206,7444.98,Food Festival,Rainy,Car,2847.37,Yes,12.9,94.78,4.1,Yes,Average
Kerala,Munnar,01-07-2019,2019,July,5706,4253,27081.6,Temple,2.72,159,2890.32,Religious Event,Snowy,Boat,4106.78,No,8.2,89.21,4.8,No,Good
Kerala,Munnar,01-08-2019,2019,August,45257,1260,70255.37,Desert Safari,1.51,68,9682.9,Religious Event,Humid,Bike,2826.84,No,7.3,92.96,3.6,Yes,Poor
Kerala,Munnar,01-09-2019,2019,September,32733,1338,36097.2,Desert Safari,1.06,352,6099.5,Music Festival,Cold,Train,7436.85,No,5.3,72.3,4.2,No,Good
Kerala,Munnar,01-10-2019,2019,October,7372,860,11588.36,Fort,1.41,227,5907.77,Dance Festival,Cloudy,Bike,5946.04,No,11.1,75.36,4.6,Yes,Average
Kerala,Munnar,01-11-2019,2019,November,23335,4318,42682.64,Hill Station,1.54,428,2012.41,Dance Festival,Rainy,Boat,1607.69,No,13.7,56.38,3.4,No,Good
Kerala,Munnar,01-12-2019,2019,December,15935,4410,35928.3,Wildlife Sanctuary,1.77,318,5449.82,Festival,Snowy,Train,6631.93,No,7.5,73.78,4.7,Yes,Poor
Kerala,Munnar,01-01-2020,2020,January,32160,2641,41373.75,Fort,1.19,349,6835.34,Religious Event,Snowy,Bike,4677.35,No,8.7,60.79,3.4,Yes,Good
Kerala,Munnar,01-02-2020,2020,February,28392,4634,45538.66,Fort,1.38,191,8584.01,Festival,Humid,Car,7158.83,No,9.9,72.79,4.9,No,Good
Kerala,Munnar,01-03-2020,2020,March,32226,4684,70451.77,Desert Safari,1.91,229,2920.22,Food Festival,Cloudy,Bike,3720.73,No,5.8,71.04,3.6,Yes,Good
Kerala,Munnar,01-04-2020,2020,April,48522,4632,52376.86,Fort,0.99,54,1674.17,Art Fair,Humid,Flight,6727.72,No,2.3,93.2,4.2,Yes,Poor
Kerala,Munnar,01-05-2020,2020,May,10866,1733,14906.16,Fort,1.18,171,9634.83,Festival,Cloudy,Boat,1405.18,Yes,11.3,60.29,3.3,Yes,Good
Kerala,Munnar,01-06-2020,2020,June,28355,877,19461.53,Temple,0.67,399,6227.88,Art Fair,Rainy,Bus,2477.04,Yes,5.6,93.38,3.4,No,Good
Kerala,Munnar,01-07-2020,2020,July,38222,2447,35086.45,Backwaters,0.86,119,2558.56,Crafts Mela,Sunny,Bike,5293.42,Yes,14.5,91.57,4.9,No,Average
Kerala,Munnar,01-08-2020,2020,August,27443,1774,25972.71,Temple,0.89,200,6364.46,Food Festival,Snowy,Bus,877.35,No,14.7,81.04,3.3,No,Poor
Kerala,Munnar,01-09-2020,2020,September,12846,4376,21197.48,Hill Station,1.23,134,7386.99,Sports Event,Rainy,Bike,5593.73,No,8.9,84.51,3,Yes,Average
Kerala,Munnar,01-10-2020,2020,October,46870,2802,74028.43,Desert Safari,1.49,126,4197.32,Dance Festival,Snowy,Car,856.8,Yes,10.5,92.75,3.1,Yes,Poor
Kerala,Munnar,01-11-2020,2020,November,48275,3746,69926.46,Cultural Festival,1.34,111,3317.69,Sports Event,Rainy,Bike,6332.67,Yes,11.5,61.2,3.2,Yes,Good
Kerala,Munnar,01-12-2020,2020,December,21835,2576,38932.91,Backwaters,1.59,162,5777.36,Art Fair,Humid,Flight,2532.07,Yes,14,89.19,3.1,Yes,Average
Kerala,Munnar,01-01-2021,2021,January,37300,778,55063.59,Cultural Festival,1.45,301,4098.78,Art Fair,Humid,Flight,5461.08,No,8.7,72.15,3.4,No,Poor
Kerala,Munnar,01-02-2021,2021,February,11203,4524,28313.98,Cultural Festival,1.8,296,8345.6,Food Festival,Cloudy,Train,3741.18,No,4.4,83.51,3.2,No,Average
Kerala,Munnar,01-03-2021,2021,March,40391,1738,57444.21,River Rafting,1.36,485,7972.06,Sports Event,Cold,Train,5130.01,No,11,73.43,3.5,Yes,Good
Kerala,Munnar,01-04-2021,2021,April,41563,1662,61504.59,Backwaters,1.42,414,2233.85,Art Fair,Cloudy,Bike,1552.18,Yes,10.6,63.49,3.8,Yes,Poor
Kerala,Munnar,01-05-2021,2021,May,44615,3207,50905.42,Beach,1.06,486,6803.93,Crafts Mela,Sunny,Bike,7661,Yes,2.8,88.4,3.1,No,Average
Kerala,Munnar,01-06-2021,2021,June,19689,553,21436.04,Temple,1.06,487,6450.18,Dance Festival,Humid,Train,3415.76,No,3.7,85.17,3.1,Yes,Average
Kerala,Munnar,01-07-2021,2021,July,26856,3535,41358.48,Hill Station,1.36,391,7464.21,Crafts Mela,Cloudy,Bus,6040.41,Yes,4.2,81.15,4.2,Yes,Good
Kerala,Munnar,01-08-2021,2021,August,7858,1713,10566.38,Museum,1.1,387,5185.16,Food Festival,Humid,Bike,6022.23,No,14,89.92,4.8,Yes,Poor
Kerala,Munnar,01-09-2021,2021,September,17398,687,18880.45,Wildlife Sanctuary,1.04,314,7464.15,Art Fair,Rainy,Bike,5405.63,No,4.1,86.09,4.3,No,Average
Kerala,Munnar,01-10-2021,2021,October,12236,1166,21976.73,Wildlife Sanctuary,1.64,274,7636.45,Dance Festival,Humid,Car,3654.04,No,8.4,66.7,4.4,No,Poor
Kerala,Munnar,01-11-2021,2021,November,23920,1792,22195.03,Temple,0.86,360,6065.83,Music Festival,Sunny,Bike,1389.78,Yes,13.3,59.34,3.5,Yes,Average
Kerala,Munnar,01-12-2021,2021,December,36266,2447,56135.67,Temple,1.45,496,3620.48,Dance Festival,Rainy,Bike,7525.32,Yes,14.7,54.76,3.3,No,Good
Kerala,Munnar,01-01-2022,2022,January,31714,759,31300.73,Hill Station,0.96,381,7360.02,Festival,Sunny,Bus,6291.59,No,9.7,73.45,4.9,No,Poor
Kerala,Munnar,01-02-2022,2022,February,20323,3567,43213.73,Desert Safari,1.81,70,6357.85,Crafts Mela,Humid,Bike,1440.38,Yes,5.4,62.8,3.1,No,Poor
Kerala,Munnar,01-03-2022,2022,March,15441,4045,31449.6,Backwaters,1.61,360,6530.14,Religious Event,Snowy,Train,3298.12,Yes,3.3,52.36,3.1,Yes,Poor
Kerala,Munnar,01-04-2022,2022,April,42126,1657,31970.36,Temple,0.73,359,3690.35,Festival,Snowy,Boat,7938.39,No,7.9,76.83,4.1,Yes,Good
Kerala,Munnar,01-05-2022,2022,May,31933,2192,32643.56,Fort,0.96,466,3757.5,Crafts Mela,Sunny,Boat,2797.27,No,3.7,59.2,4.6,Yes,Average
Kerala,Munnar,01-06-2022,2022,June,35757,2568,34799.07,Wildlife Sanctuary,0.91,377,4637.92,Crafts Mela,Sunny,Bus,6737.63,No,7,50.44,3.4,Yes,Average
Kerala,Munnar,01-07-2022,2022,July,48601,653,56668.5,Museum,1.15,258,6930.73,Religious Event,Snowy,Bike,2518.57,No,7.1,51.14,4.9,No,Good
Kerala,Munnar,01-08-2022,2022,August,36868,1845,40141.79,Museum,1.04,222,4229.13,Food Festival,Sunny,Bike,3781.08,No,5.7,88.62,4.4,No,Poor
Kerala,Munnar,01-09-2022,2022,September,8580,3225,18045.11,Fort,1.53,165,6014.05,Dance Festival,Humid,Car,6948.54,No,5.8,86.42,3.8,No,Average
Kerala,Munnar,01-10-2022,2022,October,28217,2315,33899.71,Cultural Festival,1.11,267,5362.25,Religious Event,Cold,Flight,3628.64,Yes,14.1,62.29,4.3,Yes,Good
Kerala,Munnar,01-11-2022,2022,November,18443,1920,14533.58,Museum,0.71,216,9340.15,Sports Event,Cloudy,Bike,1643.51,No,12.1,54.62,3.7,Yes,Good
Kerala,Munnar,01-12-2022,2022,December,12416,2614,17815.94,Wildlife Sanctuary,1.19,369,9079.26,Festival,Cloudy,Flight,648.95,Yes,9.4,85.21,4.2,No,Average
Kerala,Munnar,01-01-2023,2023,January,20259,4407,41856.52,Fort,1.7,225,8781.56,Festival,Cloudy,Train,6446.21,Yes,12.8,50.43,3.9,No,Poor
Kerala,Munnar,01-02-2023,2023,February,27127,972,35354.06,Beach,1.26,204,7916.2,Sports Event,Cold,Boat,2687.37,Yes,14.9,54.84,3.5,No,Average
Kerala,Munnar,01-03-2023,2023,March,45888,2652,38838.61,Wildlife Sanctuary,0.8,95,1769.4,Food Festival,Rainy,Car,4270.77,No,10.6,84.65,3.1,No,Poor
Kerala,Munnar,01-04-2023,2023,April,10380,3032,22063.92,Desert Safari,1.65,214,4072.73,Art Fair,Cloudy,Bike,4484,No,4.9,79.73,4,Yes,Poor
Kerala,Munnar,01-05-2023,2023,May,47137,2218,75542.49,Backwaters,1.53,108,5461.81,Dance Festival,Cold,Car,6137.13,Yes,9.5,73.58,3.4,No,Average
Kerala,Munnar,01-06-2023,2023,June,42641,4543,40922.36,Desert Safari,0.87,84,1757.48,Art Fair,Cold,Train,2719.78,No,2.2,91.3,3.4,No,Poor
Kerala,Munnar,01-07-2023,2023,July,13338,1442,19115,Hill Station,1.29,74,5666.14,Festival,Sunny,Flight,3118.11,No,14.8,87.48,4.2,No,Good
Kerala,Munnar,01-08-2023,2023,August,7621,2099,16626.91,Cultural Festival,1.71,401,8146.11,Religious Event,Cold,Bike,747.68,Yes,2.9,90.3,3.3,Yes,Poor
Kerala,Munnar,01-09-2023,2023,September,29583,3968,32825.77,River Rafting,0.98,324,4940.4,Food Festival,Cold,Boat,7715.76,No,3.7,80.05,3.1,No,Good
Kerala,Munnar,01-10-2023,2023,October,24556,3738,52629.46,Temple,1.86,470,2119.8,Dance Festival,Cold,Bike,5286.94,No,10.4,94.36,3.2,Yes,Average
Kerala,Munnar,01-11-2023,2023,November,37302,746,50835.88,Fort,1.34,306,7944.42,Music Festival,Snowy,Flight,547.23,No,12.2,89.56,3.8,No,Poor
Kerala,Munnar,01-12-2023,2023,December,17873,2823,24534.26,Fort,1.19,425,1519.43,Dance Festival,Cloudy,Train,4873.49,Yes,5.4,90.86,3.8,No,Good
Tamil Nadu,Chennai,01-01-2019,2019,January,25169,3195,26739.16,Beach,0.94,110,8032.85,Crafts Mela,Snowy,Boat,7303.13,No,6.6,91.24,3.5,No,Good
Tamil Nadu,Chennai,01-02-2019,2019,February,22516,820,27706.21,Museum,1.19,499,3202.85,Music Festival,Humid,Bike,3811.93,No,8.6,65.44,3.2,Yes,Good
Tamil Nadu,Chennai,01-03-2019,2019,March,41755,848,44765.17,Temple,1.05,220,3071.63,Music Festival,Sunny,Car,4980.11,No,13.4,59.54,3.4,No,Average
Tamil Nadu,Chennai,01-04-2019,2019,April,48580,3908,67853.31,Temple,1.29,183,7135.49,Festival,Sunny,Flight,4016.11,No,7.5,67.84,3.5,Yes,Average
Tamil Nadu,Chennai,01-05-2019,2019,May,7567,704,9594.39,Desert Safari,1.16,448,3613.52,Music Festival,Cloudy,Train,2806.6,Yes,8.3,72.29,3.7,No,Good
Tamil Nadu,Chennai,01-06-2019,2019,June,26283,2557,38826.55,Wildlife Sanctuary,1.35,138,1700.05,Religious Event,Cold,Boat,3225.07,Yes,4.2,79.95,4.8,Yes,Average
Tamil Nadu,Chennai,01-07-2019,2019,July,22214,3588,45010.26,Wildlife Sanctuary,1.74,232,4309.77,Food Festival,Rainy,Bus,6393.21,No,3.7,76.81,4.7,Yes,Poor
Tamil Nadu,Chennai,01-08-2019,2019,August,30511,1848,33074.85,Backwaters,1.02,108,9666.49,Sports Event,Cloudy,Boat,4103.59,No,4.1,66.6,4.8,No,Average
Tamil Nadu,Chennai,01-09-2019,2019,September,28802,2753,36822.5,River Rafting,1.17,223,4064.44,Art Fair,Humid,Train,1655.49,Yes,14.3,64.5,4.9,Yes,Average
Tamil Nadu,Chennai,01-10-2019,2019,October,44387,3718,56370.83,Museum,1.17,251,4171.9,Crafts Mela,Humid,Bike,2406.27,Yes,13.6,73.37,4,No,Average
Tamil Nadu,Chennai,01-11-2019,2019,November,35193,4411,53691.11,Hill Station,1.36,64,3426.5,Music Festival,Rainy,Boat,6983.86,No,4,85.41,3.9,Yes,Poor
Tamil Nadu,Chennai,01-12-2019,2019,December,37711,2257,29751.31,Fort,0.74,263,6772.95,Art Fair,Rainy,Bus,7812.53,Yes,4.1,82.64,4.8,Yes,Poor
Tamil Nadu,Chennai,01-01-2020,2020,January,27905,2520,45869.94,Beach,1.51,186,7352.01,Festival,Rainy,Car,4756.42,Yes,6.5,51.53,4.3,No,Poor
Tamil Nadu,Chennai,01-02-2020,2020,February,27347,3813,48902.06,Backwaters,1.57,476,2000.41,Festival,Cloudy,Flight,5376.38,No,13.1,65.81,3,Yes,Average
Tamil Nadu,Chennai,01-03-2020,2020,March,18489,4604,38178.36,Temple,1.65,243,8908.85,Music Festival,Cold,Flight,703.21,Yes,3.2,56.84,4.3,No,Good
Tamil Nadu,Chennai,01-04-2020,2020,April,23015,1562,37454.42,Beach,1.52,262,6682.02,Music Festival,Cloudy,Car,7383.02,No,4.7,90.41,3.9,No,Average
Tamil Nadu,Chennai,01-05-2020,2020,May,47250,829,68740.15,Fort,1.43,50,4928.55,Religious Event,Rainy,Car,5720.55,Yes,9.2,83.74,5,Yes,Average
Tamil Nadu,Chennai,01-06-2020,2020,June,37567,4076,42958.26,River Rafting,1.03,475,1798.74,Religious Event,Snowy,Bus,6359.56,No,6.1,57.44,3.5,No,Good
Tamil Nadu,Chennai,01-07-2020,2020,July,25850,1044,16011.2,Wildlife Sanctuary,0.6,76,4160.48,Sports Event,Humid,Bus,806.09,Yes,5.8,70.02,3.4,Yes,Good
Tamil Nadu,Chennai,01-08-2020,2020,August,11044,1813,21377.82,Fort,1.66,78,6840.41,Sports Event,Sunny,Car,4042.49,Yes,2.2,56.85,3,No,Poor
Tamil Nadu,Chennai,01-09-2020,2020,September,43752,3190,46511.9,Hill Station,0.99,150,7231.27,Music Festival,Humid,Bus,3905.45,No,12.3,87.07,4,Yes,Poor
Tamil Nadu,Chennai,01-10-2020,2020,October,17615,2563,23557.34,Hill Station,1.17,258,9979.17,Crafts Mela,Snowy,Bike,4152.96,No,12.3,85.13,4.5,Yes,Good
Tamil Nadu,Chennai,01-11-2020,2020,November,45039,3031,39192.23,Wildlife Sanctuary,0.82,251,4997.45,Art Fair,Cloudy,Boat,7374.78,Yes,6.8,82.34,4,No,Good
Tamil Nadu,Chennai,01-12-2020,2020,December,35602,4665,59840.62,Wildlife Sanctuary,1.49,421,6504.55,Festival,Sunny,Car,4532.47,Yes,9.3,58.7,3.6,Yes,Poor
Tamil Nadu,Chennai,01-01-2021,2021,January,22229,2588,25709.97,Cultural Festival,1.04,142,6271.15,Music Festival,Humid,Car,7002.31,Yes,9.5,94,4.6,No,Average
Tamil Nadu,Chennai,01-02-2021,2021,February,22375,1230,17243.99,Beach,0.73,344,7589.42,Food Festival,Sunny,Car,6605.45,No,5.2,80.23,4,Yes,Average
Tamil Nadu,Chennai,01-03-2021,2021,March,23743,1841,30889.27,Hill Station,1.21,412,3258.83,Art Fair,Snowy,Car,7259,Yes,6.9,64.92,3.8,No,Poor
Tamil Nadu,Chennai,01-04-2021,2021,April,28856,3352,36182.78,Temple,1.12,272,3828.98,Sports Event,Cold,Flight,1136.06,No,3.2,93.84,3.1,No,Average
Tamil Nadu,Chennai,01-05-2021,2021,May,28130,3642,35887.24,Hill Station,1.13,366,1608.13,Festival,Cloudy,Train,5796.63,No,7.9,66.2,3.4,Yes,Average
Tamil Nadu,Chennai,01-06-2021,2021,June,12399,4147,30307.11,River Rafting,1.83,85,6222.22,Art Fair,Snowy,Bike,2312.47,Yes,11.7,72.88,3.8,No,Average
Tamil Nadu,Chennai,01-07-2021,2021,July,19959,3216,33021.55,Beach,1.42,376,9602.66,Sports Event,Sunny,Car,4570.57,Yes,6.6,66.9,3.7,Yes,Poor
Tamil Nadu,Chennai,01-08-2021,2021,August,14754,3023,23206,Wildlife Sanctuary,1.31,462,7588.09,Music Festival,Rainy,Boat,2311.87,Yes,6.1,66.35,4.6,No,Good
Tamil Nadu,Chennai,01-09-2021,2021,September,31028,4077,50330.1,Hill Station,1.43,279,3803.24,Crafts Mela,Cloudy,Bus,7522.07,Yes,12,71.29,4.6,Yes,Average
Tamil Nadu,Chennai,01-10-2021,2021,October,9690,3485,23909.32,Beach,1.81,479,5317.76,Art Fair,Snowy,Bus,2462.08,Yes,4.5,70.98,4.7,Yes,Good
Tamil Nadu,Chennai,01-11-2021,2021,November,13774,4152,26960.88,Beach,1.5,405,2115.92,Sports Event,Rainy,Bus,2907.83,Yes,4,72.6,4.9,Yes,Good
Tamil Nadu,Chennai,01-12-2021,2021,December,40259,2640,64164.32,Fort,1.5,108,3844.59,Food Festival,Rainy,Car,5716.75,No,14.3,70.94,3.1,No,Average
Tamil Nadu,Chennai,01-01-2022,2022,January,10522,2180,18577.25,River Rafting,1.46,188,7168.12,Art Fair,Humid,Flight,4376.95,No,6.8,81.75,3,No,Average
Tamil Nadu,Chennai,01-02-2022,2022,February,36344,561,56423.21,Temple,1.53,393,2160.53,Festival,Humid,Car,1087.27,No,8.8,87.02,3.8,Yes,Average
Tamil Nadu,Chennai,01-03-2022,2022,March,40386,1945,48885.34,River Rafting,1.15,496,1753.04,Religious Event,Rainy,Bike,4426.06,No,11.6,69.81,3.5,No,Good
Tamil Nadu,Chennai,01-04-2022,2022,April,13858,622,10340.94,Wildlife Sanctuary,0.71,179,6566,Music Festival,Rainy,Bike,1511.87,Yes,10.6,77.59,4.7,No,Average
Tamil Nadu,Chennai,01-05-2022,2022,May,18342,3306,35729.87,Museum,1.65,447,7207.53,Dance Festival,Rainy,Flight,7809.44,No,12.3,93.13,4.9,Yes,Good
Tamil Nadu,Chennai,01-06-2022,2022,June,29400,4564,49398.2,Temple,1.45,346,1697.61,Sports Event,Humid,Boat,2667.16,Yes,7.6,51.56,4.8,No,Poor
Tamil Nadu,Chennai,01-07-2022,2022,July,15814,3226,20923.69,River Rafting,1.1,311,7888.64,Crafts Mela,Cold,Car,3687.7,No,6.2,62.17,4.9,No,Average
Tamil Nadu,Chennai,01-08-2022,2022,August,35962,4990,61640.27,Temple,1.51,321,1881.33,Sports Event,Cloudy,Car,2078.56,No,8,51.1,4.5,No,Average
Tamil Nadu,Chennai,01-09-2022,2022,September,47039,3478,81948.23,Beach,1.62,140,9268.24,Food Festival,Cloudy,Bus,2058.58,Yes,5.1,68.96,3.5,No,Good
Tamil Nadu,Chennai,01-10-2022,2022,October,32401,1833,48964.33,Wildlife Sanctuary,1.43,294,2321.95,Religious Event,Cold,Flight,5703.55,Yes,12.6,60.78,3.6,No,Average
Tamil Nadu,Chennai,01-11-2022,2022,November,38811,605,50321.75,Backwaters,1.28,194,7402.25,Crafts Mela,Cold,Car,6211.43,No,15,80.57,4.3,Yes,Average
Tamil Nadu,Chennai,01-12-2022,2022,December,27023,3311,36278.99,Backwaters,1.2,242,9769.96,Food Festival,Rainy,Boat,4477.63,No,8.9,57.8,5,No,Good
Tamil Nadu,Chennai,01-01-2023,2023,January,46313,1226,43751.55,Beach,0.92,380,4427.63,Religious Event,Snowy,Bus,5769.85,No,9,85.96,4.2,No,Average
Tamil Nadu,Chennai,01-02-2023,2023,February,15600,2892,35168.12,Fort,1.9,458,1903.2,Sports Event,Cloudy,Bike,1165.44,Yes,6.8,85.38,3.9,No,Average
Tamil Nadu,Chennai,01-03-2023,2023,March,20387,2962,34374.06,Museum,1.47,343,4484.88,Food Festival,Sunny,Train,5915.05,Yes,3.7,56.54,4,No,Good
Tamil Nadu,Chennai,01-04-2023,2023,April,37360,3330,67576.5,Desert Safari,1.66,376,9946.9,Festival,Snowy,Bus,5088.2,Yes,5.2,94.59,4.2,No,Poor
Tamil Nadu,Chennai,01-05-2023,2023,May,44599,4405,55136.66,Temple,1.13,332,8650.29,Sports Event,Snowy,Boat,6655,No,7.1,62.22,4.5,No,Good
Tamil Nadu,Chennai,01-06-2023,2023,June,13324,2429,15576.07,Backwaters,0.99,394,3482.69,Crafts Mela,Rainy,Bus,5535.17,No,5.2,70.64,4.3,Yes,Good
Tamil Nadu,Chennai,01-07-2023,2023,July,9961,3335,25540.76,Cultural Festival,1.92,285,5444.49,Food Festival,Sunny,Flight,1734.56,Yes,5.6,75.77,3.9,No,Poor
Tamil Nadu,Chennai,01-08-2023,2023,August,16846,1706,20588.81,Temple,1.11,385,3112.63,Festival,Sunny,Car,2853.08,No,7.6,74.27,3.8,Yes,Poor
Tamil Nadu,Chennai,01-09-2023,2023,September,38805,4622,65065.9,Beach,1.5,103,5736.45,Sports Event,Cloudy,Flight,5250.49,No,8,83.96,4.1,Yes,Poor
Tamil Nadu,Chennai,01-10-2023,2023,October,14136,3840,31574.9,Cultural Festival,1.76,474,3131.77,Music Festival,Snowy,Bike,1253.78,No,2.2,77.72,4,Yes,Average
Tamil Nadu,Chennai,01-11-2023,2023,November,23580,703,27038.67,River Rafting,1.11,126,7134.01,Music Festival,Cold,Boat,2103.08,No,6.5,93.5,3.1,Yes,Average
Tamil Nadu,Chennai,01-12-2023,2023,December,23738,543,17702.94,Hill Station,0.73,144,2297.36,Art Fair,Humid,Car,807.8,No,4.6,92.66,4,Yes,Good
Tamil Nadu,Madurai,01-01-2019,2019,January,22888,3511,30661.09,River Rafting,1.16,157,8423.73,Food Festival,Cold,Flight,2020.74,Yes,8.5,72.44,3.9,Yes,Average
Tamil Nadu,Madurai,01-02-2019,2019,February,10162,1927,14032.73,Cultural Festival,1.16,367,1959.03,Art Fair,Sunny,Car,6665.89,Yes,7.8,63.47,4,Yes,Poor
Tamil Nadu,Madurai,01-03-2019,2019,March,16890,4109,30647.32,Fort,1.46,467,6777.45,Dance Festival,Sunny,Car,6211.12,Yes,12.8,73.74,3.1,No,Poor
Tamil Nadu,Madurai,01-04-2019,2019,April,5154,3432,20752.55,Fort,2.42,263,9725.53,Sports Event,Sunny,Car,3091.46,No,3.7,75.54,3,No,Good
Tamil Nadu,Madurai,01-05-2019,2019,May,19379,3154,40680.77,Desert Safari,1.81,146,7137.16,Music Festival,Cold,Boat,3862.62,No,2.7,50.73,4.5,No,Poor
Tamil Nadu,Madurai,01-06-2019,2019,June,48420,3829,45883.34,Fort,0.88,130,3054.99,Festival,Sunny,Flight,1477.3,No,5.5,82.17,3.6,Yes,Good
